Driver,event_id,y,ds
Lando Norris,2024 Dutch Grand Prix,45,8/25/2024
Lando Norris,2025 Australian Grand Prix,45,3/16/2025
Lando Norris,2025 Monaco Grand Prix,45,5/25/2025
Lando Norris,2025 Italian Grand Prix,37,9/7/2025
Lando Norris,2025 Miami Grand Prix,37,5/4/2025
Lando Norris,2024 Spanish Grand Prix,37,6/23/2024
Lando Norris,2025 British Grand Prix,35,7/6/2025
Lando Norris,2025 Hungarian Grand Prix,35,8/3/2025
Lando Norris,2024 Abu Dhabi Grand Prix,35,12/8/2024
Lando Norris,2024 Singapore Grand Prix,35,9/22/2024
Lando Norris,2025 Austrian Grand Prix,35,6/29/2025
Lando Norris,2025 Mexico City Grand Prix,35,10/26/2025
Lando Norris,2024 Azerbaijan Grand Prix,33,9/15/2024
Lando Norris,2024 Italian Grand Prix,33,9/1/2024
Lando Norris,2020 Austrian Grand Prix,32,7/5/2020
Lando Norris,2025 Saudi Arabian Grand Prix,29,4/20/2025
Lando Norris,2023 Italian Grand Prix,27,9/3/2023
Lando Norris,2025 Emilia Romagna Grand Prix,27,5/18/2025
Lando Norris,2023 British Grand Prix,27,7/9/2023
Lando Norris,2023 Singapore Grand Prix,27,9/17/2023
Lando Norris,2024 Mexico City Grand Prix,27,10/27/2024
Lando Norris,2025 Chinese Grand Prix,27,3/23/2025
Lando Norris,2023 Austrian Grand Prix,27,7/2/2023
Lando Norris,2023 Qatar Grand Prix,27,10/8/2023
Lando Norris,2025 Japanese Grand Prix,27,4/6/2025
Lando Norris,2025 Spanish Grand Prix,27,6/1/2025
Lando Norris,2025 United States Grand Prix,27,10/19/2025
Lando Norris,2024 Hungarian Grand Prix,27,7/21/2024
Lando Norris,2025 Belgian Grand Prix,27,7/27/2025
Lando Norris,2023 Mexico City Grand Prix,26,10/29/2023
Lando Norris,2021 Italian Grand Prix,26,9/12/2021
Lando Norris,2022 Emilia Romagna Grand Prix,25,4/24/2022
Lando Norris,2023 Japanese Grand Prix,23,9/24/2023
Lando Norris,2021 Emilia Romagna Grand Prix,23,4/18/2021
Lando Norris,2025 Bahrain Grand Prix,23,4/13/2025
Lando Norris,2021 Monaco Grand Prix,23,5/23/2021
Lando Norris,2025 Singapore Grand Prix,23,10/5/2025
Lando Norris,2024 British Grand Prix,23,7/7/2024
Lando Norris,2021 Austrian Grand Prix,23,7/4/2021
Lando Norris,2022 Abu Dhabi Grand Prix,23,11/20/2022
Lando Norris,2022 Monaco Grand Prix,23,5/29/2022
Lando Norris,2023 United States Grand Prix,22,10/22/2023
Lando Norris,2020 Turkish Grand Prix,20,11/15/2020
Lando Norris,2021 Russian Grand Prix,20,9/26/2021
Lando Norris,2020 Bahrain Grand Prix,19,11/29/2020
Lando Norris,2021 Bahrain Grand Prix,19,3/28/2021
Lando Norris,2020 Italian Grand Prix,19,9/6/2020
Lando Norris,2020 Styrian Grand Prix,19,7/12/2020
Lando Norris,2021 Azerbaijan Grand Prix,19,6/6/2021
Lando Norris,2022 Singapore Grand Prix,19,10/2/2022
Lando Norris,2023 Canadian Grand Prix,19,6/18/2023
Lando Norris,2024 United States Grand Prix,19,10/20/2024
Lando Norris,2021 British Grand Prix,18,7/18/2021
Lando Norris,2021 French Grand Prix,16,6/20/2021
Lando Norris,2021 Portuguese Grand Prix,16,5/2/2021
Lando Norris,2020 British Grand Prix,16,8/2/2020
Lando Norris,2020 70th Anniversary Grand Prix,3,8/9/2020
Lando Norris,2022 Australian Grand Prix,16,4/10/2022
Lando Norris,2023 Australian Grand Prix,15,4/2/2023
Lando Norris,2024 Belgian Grand Prix,15,7/28/2024
Lando Norris,2021 Styrian Grand Prix,15,6/27/2021
Lando Norris,2020 Tuscan Grand Prix,13,9/13/2020
Lando Norris,2022 British Grand Prix,13,7/3/2022
Lando Norris,2024 S��o Paulo Grand ,13,11/3/2024
Lando Norris,2022 United States Grand Prix,11,10/23/2022
Lando Norris,2024 Qatar Grand Prix,11,12/1/2024
Lando Norris,2022 Saudi Arabian Grand Prix,10,3/27/2022
Lando Norris,2020 Belgian Grand Prix,10,8/30/2020
Lando Norris,2022 Dutch Grand Prix,10,9/4/2022
Lando Norris,2023 Hungarian Grand Prix,10,7/23/2023
Lando Norris,2025 Azerbaijan Grand Prix,10,9/21/2025
Lando Norris,2022 French Grand Prix,10,7/24/2022
Lando Norris,2022 Hungarian Grand Prix,10,7/31/2022
Lando Norris,2021 Abu Dhabi Grand Prix,10,12/12/2021
Lando Norris,2023 Belgian Grand Prix,10,7/30/2023
Lando Norris,2020 Sakhir Grand Prix,9,12/6/2020
Lando Norris,2022 Austrian Grand Prix,9,7/10/2022
Lando Norris,2021 Mexico City Grand Prix,9,11/7/2021
