"Driver","n_obs","ds","yhat","yhat_lower","yhat_upper"
"Lando Norris",116,2025-11-23,15.2312902709644,-1.88135798126869,32.2121271835792
"Max Verstappen",116,2025-11-23,28.4227396683295,1.94767762971477,51.6949245514404
"Oscar Piastri",55,2025-11-23,8.17066302794345,-8.80214267773743,23.2986166967898
"George Russell",116,2025-11-23,20.1619063798741,1.9762883344548,40.007306946612
"Lewis Hamiliton",115,2025-11-23,-5.51524771715657,-22.6010434852369,11.8891589699415
"Charles Leclerc",116,2025-11-23,17.7434648562036,-4.50878292551122,40.4043592789284
"Kimi Antonelli",20,2025-11-23,3.73064851444894,-18.1620447585306,23.4149628934005
"Alexander Albon",93,2025-11-23,4.03826587757999,-11.0742537952495,19.8862272146144
"Yuki Tsunoda",99,2025-11-23,0.783259538313427,-12.2297810577165,14.428224790215
"Nico Hulkenberg",60,2025-11-23,-10.8035343113704,-21.4357836196942,0.526277395148796
"Oliver Bearman",22,2025-11-23,4.0259779145033,-8.80383413099323,16.2313562580126
"Lance Stroll",114,2025-11-23,-6.48837614640257,-22.470035242366,9.2207405437782
"Esteban Ocon",115,2025-11-23,2.47642216855934,-11.8705622599847,17.9863491723737
"Carlos Sainz",116,2025-11-23,5.71897726741549,-16.0335509999976,26.7027154766287
"Gabriel Bortoleto",20,2025-11-23,4.56560682130703,-6.80664439343059,15.4294248109282
"Isack Hadjar",20,2025-11-23,5.05096987001644,-9.01609452695308,18.4294607387526
"Liam Lawson",31,2025-11-23,29.4908626515853,20.0895303785786,39.3409534508249
"Fernando Alonso",99,2025-11-23,-3.41446521332394,-20.4773759928839,12.1923177274256
"Pierre Gasly",116,2025-11-23,-1.46384492260022,-16.7357251725128,13.9829588279418
"Franco Colapinto",22,2025-11-23,-1.39674638770579,-13.1230351461616,9.7623388873724
