"ds","y"
2020-07-05,-23
2020-07-12,18
2020-07-19,18
2020-08-02,8
2020-08-09,16
2020-08-16,7
2020-08-30,13
2020-09-06,-4
2020-09-13,23
2020-09-27,6
2020-10-11,-26
2020-10-25,-1
2020-11-01,-4
2020-11-15,10
2020-11-29,23
2020-12-06,14
2020-12-13,19
2022-03-20,1
2022-03-27,-18
2022-04-10,10
2022-04-24,7
2022-05-08,10
2022-05-22,0
2022-05-29,-22
2022-06-12,5
2022-06-19,-1
2022-07-03,-24
2022-07-10,3
2022-07-24,0
2022-07-31,0
2022-08-28,-2
2022-09-04,3
2022-10-02,-19
2022-10-09,-24
2022-10-23,-5
2022-10-30,5
2022-11-13,4
2022-11-20,6
2023-03-05,5
2023-03-19,-22
2023-04-02,-28
2023-04-30,0
2023-05-07,-3
2023-05-28,2
2023-06-04,9
2023-06-18,0
2023-07-02,7
2023-07-09,5
2023-07-23,1
2023-07-30,7
2023-08-27,10
2023-09-03,3
2023-09-17,-23
2023-09-24,0
2023-10-08,7
2023-10-22,6
2023-10-29,-26
2023-11-05,-2
2023-11-26,-20
2024-06-23,2
2024-06-30,1
2024-07-07,3
2024-07-21,-1
2024-07-28,-2
2024-08-25,6
2024-09-01,3
2024-09-15,9
2024-09-22,-29
2024-10-20,-2
2024-10-27,-28
2024-11-03,-27
2024-12-01,1
2024-12-08,7
2025-03-16,16
2025-03-23,10
2025-04-06,3
2025-04-13,3
2025-04-20,3
2025-05-04,16
2025-05-18,16
2025-05-25,3
2025-06-01,-28
2025-06-15,-30
2025-06-29,-25
2025-07-06,9
2025-07-27,13
2025-08-03,4
2025-08-31,20
2025-09-07,13
2025-09-21,6
2025-10-05,6
2025-10-19,4
2025-10-26,5
