"ds","y"
2020-07-05,16
2020-07-12,13
2020-07-19,3
2020-08-02,-2
2020-08-09,-1
2020-08-16,13
2020-08-30,-29
2020-09-06,27
2020-09-13,-27
2020-09-27,-28
2020-10-11,16
2020-10-25,13
2020-11-01,10
2020-11-15,20
2020-11-29,20
2020-12-06,19
2020-12-13,13
2021-03-28,7
2021-04-18,16
2021-05-02,0
2021-05-09,10
2021-05-23,27
2021-06-06,7
2021-06-20,0
2021-06-27,14
2021-07-04,15
2021-07-18,14
2021-08-01,27
2021-08-29,1
2021-09-05,10
2021-09-12,12
2021-09-26,23
2021-10-10,15
2021-10-24,9
2021-11-07,13
2021-11-14,10
2021-11-21,8
2021-12-05,11
2021-12-12,23
2022-03-20,27
2022-03-27,23
2022-04-10,-29
2022-04-24,-35
2022-05-08,23
2022-05-22,19
2022-05-29,27
2022-06-12,-29
2022-06-19,37
2022-07-03,35
2022-07-10,-27
2022-07-24,36
2022-07-31,19
2022-08-28,22
2022-09-04,7
2022-09-11,34
2022-10-02,23
2022-10-09,-28
2022-10-23,-29
2022-10-30,16
2022-11-13,25
2022-11-20,19
2023-03-05,19
2023-03-19,12
2023-04-02,-1
2023-04-30,16
2023-05-07,16
2023-05-28,16
2023-06-04,19
2023-06-18,13
2023-07-02,1
2023-07-09,7
2023-07-23,-29
2023-07-30,16
2023-08-27,23
2023-09-03,35
2023-09-17,13
2023-09-24,-28
2023-10-08,23
2023-10-22,19
2023-10-29,12
2023-11-05,23
2023-11-26,-20
2024-06-23,13
2024-06-30,23
2024-07-07,26
2024-07-21,13
2024-07-28,12
2024-08-25,16
2024-09-01,19
2024-09-15,-27
2024-09-22,10
2024-10-20,27
2024-10-27,35
2024-11-03,-16
2024-12-01,13
2024-12-08,27
2025-03-16,-27
2025-03-23,5
2025-04-06,1
2025-04-13,-28
2025-04-20,7
2025-05-04,3
2025-05-18,7
2025-05-25,1
2025-06-01,3
2025-06-15,6
2025-06-29,-21
2025-07-06,-3
2025-07-27,-1
2025-08-03,-1
2025-08-31,-2
2025-09-07,2
2025-09-21,23
2025-10-05,8
2025-10-19,-29
2025-10-26,-21
