"ds","y"
2020-07-05,27
2020-07-12,-25
2020-07-19,0
2020-08-02,23
2020-08-09,19
2020-08-16,-29
2020-08-30,-1
2020-09-06,-25
2020-09-13,7
2020-09-27,12
2020-10-11,10
2020-10-25,19
2020-11-01,16
2020-11-15,20
2020-11-29,2
2020-12-06,-29
2020-12-13,1
2021-03-28,13
2021-04-18,19
2021-05-02,13
2021-05-09,19
2021-05-23,-29
2021-06-06,19
2021-06-20,-5
2021-06-27,10
2021-07-04,8
2021-07-18,27
2021-08-01,-27
2021-08-29,5
2021-09-05,16
2021-09-12,16
2021-09-26,4
2021-10-10,18
2021-10-24,18
2021-11-07,16
2021-11-14,15
2021-11-21,9
2021-12-05,10
2021-12-12,1
2022-03-20,45
2022-03-27,37
2022-04-10,45
2022-04-24,13
2022-05-08,27
2022-05-22,-29
2022-05-29,19
2022-06-12,-28
2022-06-19,24
2022-07-03,19
2022-07-10,35
2022-07-24,-28
2022-07-31,13
2022-08-28,24
2022-09-04,23
2022-09-11,27
2022-10-02,27
2022-10-09,23
2022-10-23,33
2022-10-30,13
2022-11-13,14
2022-11-20,27
2023-03-05,-28
2023-03-19,20
2023-04-02,-29
2023-04-30,23
2023-05-07,10
2023-05-28,8
2023-06-04,18
2023-06-18,27
2023-07-02,3
2023-07-09,10
2023-07-23,22
2023-07-30,-28
2023-08-27,19
2023-09-03,19
2023-09-17,19
2023-09-24,16
2023-10-08,-29
2023-10-22,23
2023-10-29,-29
2023-11-05,27
2023-11-26,-11
2024-06-23,16
2024-06-30,0
2024-07-07,-3
2024-07-21,19
2024-07-28,22
2024-08-25,23
2024-09-01,35
2024-09-15,27
2024-09-22,16
2024-10-20,35
2024-10-27,33
2024-11-03,16
2024-12-01,27
2024-12-08,31
2025-03-16,7
2025-03-23,-27
2025-04-06,19
2025-04-13,18
2025-04-20,23
2025-05-04,10
2025-05-18,13
2025-05-25,27
2025-06-01,23
2025-06-15,16
2025-06-29,23
2025-07-06,-3
2025-07-27,23
2025-08-03,19
2025-08-31,-28
2025-09-07,19
2025-09-21,3
2025-10-05,13
2025-10-19,23
2025-10-26,27
