"ds","y"
2020-07-05,32
2020-07-12,19
2020-07-19,-2
2020-08-02,16
2020-08-09,3
2020-08-16,1
2020-08-30,10
2020-09-06,19
2020-09-13,13
2020-09-27,-4
2020-10-11,-25
2020-10-25,-2
2020-11-01,7
2020-11-15,20
2020-11-29,19
2020-12-06,9
2020-12-13,16
2021-03-28,19
2021-04-18,23
2021-05-02,16
2021-05-09,7
2021-05-23,23
2021-06-06,19
2021-06-20,16
2021-06-27,15
2021-07-04,23
2021-07-18,18
2021-08-01,-24
2021-08-29,2
2021-09-05,3
2021-09-12,26
2021-09-26,20
2021-10-10,9
2021-10-24,6
2021-11-07,9
2021-11-14,-2
2021-11-21,1
2021-12-05,1
2021-12-12,10
2022-03-20,-2
2022-03-27,10
2022-04-10,16
2022-04-24,25
2022-05-08,-28
2022-05-22,7
2022-05-29,23
2022-06-12,3
2022-06-19,-1
2022-07-03,13
2022-07-10,9
2022-07-24,10
2022-07-31,10
2022-08-28,6
2022-09-04,10
2022-09-11,6
2022-10-02,19
2022-10-09,1
2022-10-23,11
2022-10-30,3
2022-11-13,-25
2022-11-20,23
2023-03-05,-6
2023-03-19,2
2023-04-02,15
2023-04-30,3
2023-05-07,-1
2023-05-28,-6
2023-06-04,-2
2023-06-18,19
2023-07-02,27
2023-07-09,27
2023-07-23,10
2023-07-30,10
2023-08-27,7
2023-09-03,27
2023-09-17,27
2023-09-24,23
2023-10-08,27
2023-10-22,22
2023-10-29,26
2023-11-05,-15
2023-11-26,-14
2024-06-23,37
2024-06-30,-9
2024-07-07,23
2024-07-21,27
2024-07-28,15
2024-08-25,45
2024-09-01,33
2024-09-15,33
2024-09-22,35
2024-10-20,19
2024-10-27,27
2024-11-03,13
2024-12-01,11
2024-12-08,35
2025-03-16,45
2025-03-23,27
2025-04-06,27
2025-04-13,23
2025-04-20,29
2025-05-04,37
2025-05-18,27
2025-05-25,45
2025-06-01,27
2025-06-15,-27
2025-06-29,35
2025-07-06,35
2025-07-27,27
2025-08-03,35
2025-08-31,-27
2025-09-07,37
2025-09-21,10
2025-10-05,23
2025-10-19,27
2025-10-26,35
