"ds","y"
2020-07-05,22
2020-07-12,35
2020-07-19,45
2020-08-02,35
2020-08-09,37
2020-08-16,35
2020-08-30,35
2020-09-06,20
2020-09-13,45
2020-09-27,23
2020-10-11,35
2020-10-25,45
2020-11-01,45
2020-11-15,35
2020-11-29,35
2020-12-13,23
2021-03-28,35
2021-04-18,37
2021-05-02,35
2021-05-09,35
2021-05-23,20
2021-06-06,-4
2021-06-20,27
2021-06-27,36
2021-07-04,19
2021-07-18,36
2021-08-01,27
2021-08-29,23
2021-09-05,37
2021-09-12,-24
2021-09-26,35
2021-10-10,26
2021-10-24,37
2021-11-07,27
2021-11-14,44
2021-11-21,35
2021-12-05,45
2021-12-12,27
2022-03-20,23
2022-03-27,5
2022-04-10,19
2022-04-24,1
2022-05-08,13
2022-05-22,16
2022-05-29,7
2022-06-12,19
2022-06-19,23
2022-07-03,33
2022-07-10,22
2022-07-24,27
2022-07-31,37
2022-08-28,-32
2022-09-04,19
2022-09-11,30
2022-10-02,3
2022-10-09,16
2022-10-23,25
2022-10-30,27
2022-11-13,21
2022-11-20,-27
2023-03-05,16
2023-03-19,15
2023-04-02,27
2023-04-30,13
2023-05-07,15
2023-05-28,36
2023-06-04,22
2023-06-18,7
2023-07-02,23
2023-07-09,19
2023-07-23,18
2023-07-30,25
2023-08-27,13
2023-09-03,23
2023-09-17,26
2023-09-24,-28
2023-10-08,-28
2023-10-22,27
2023-10-29,17
2023-11-05,9
2023-11-26,-20
2024-06-23,23
2024-06-30,19
2024-07-07,35
2024-07-21,23
2024-07-28,34
2024-08-25,10
2024-09-01,16
2024-09-15,15
2024-09-22,13
2024-10-20,-23
2024-10-27,19
2024-11-03,4
2024-12-01,-1
2024-12-08,24
2025-03-16,1
2025-03-23,-18
2025-04-06,10
2025-04-13,16
2025-04-20,10
2025-05-04,8
2025-05-18,20
2025-05-25,19
2025-06-01,13
2025-06-15,13
2025-06-29,19
2025-07-06,19
2025-07-27,17
2025-08-03,0
2025-08-31,-29
2025-09-07,18
2025-09-21,8
2025-10-05,17
2025-10-19,19
2025-10-26,7
