"ds","y"
2020-07-05,-30
2020-07-12,23
2020-07-19,27
2020-08-02,37
2020-08-09,35
2020-08-16,27
2020-08-30,23
2020-09-06,-26
2020-09-13,-28
2020-09-27,27
2020-10-11,37
2020-10-25,23
2020-11-01,-26
2020-11-15,13
2020-11-29,37
2020-12-06,-28
2020-12-13,35
2021-03-28,27
2021-04-18,35
2021-05-02,27
2021-05-09,37
2021-05-23,35
2021-06-06,-17
2021-06-20,45
2021-06-27,35
2021-07-04,45
2021-07-18,-30
2021-08-01,3
2021-08-29,35
2021-09-05,35
2021-09-12,-29
2021-09-26,36
2021-10-10,26
2021-10-24,35
2021-11-07,35
2021-11-14,27
2021-11-21,42
2021-12-05,27
2021-12-12,45
2022-03-20,-28
2022-03-27,35
2022-04-10,-27
2022-04-24,45
2022-05-08,45
2022-05-22,35
2022-05-29,23
2022-06-12,35
2022-06-19,35
2022-07-03,10
2022-07-10,37
2022-07-24,35
2022-07-31,35
2022-08-28,58
2022-09-04,45
2022-09-11,40
2022-10-02,10
2022-10-09,35
2022-10-23,34
2022-10-30,35
2022-11-13,14
2022-11-20,35
2023-03-05,35
2023-03-19,41
2023-04-02,35
2023-04-30,27
2023-05-07,45
2023-05-28,35
2023-06-04,45
2023-06-18,35
2023-07-02,45
2023-07-09,45
2023-07-23,50
2023-07-30,35
2023-08-27,35
2023-09-03,16
2023-09-17,35
2023-09-24,45
2023-10-08,45
2023-10-22,35
2023-10-29,35
2023-11-05,34
2023-11-26,0
2024-06-23,35
2024-06-30,16
2024-07-07,27
2024-07-21,16
2024-07-28,29
2024-08-25,27
2024-09-01,13
2024-09-15,16
2024-09-22,27
2024-10-20,23
2024-10-27,13
2024-11-03,51
2024-12-01,36
2024-12-08,12
2025-03-16,27
2025-03-23,19
2025-04-06,35
2025-04-13,13
2025-04-20,27
2025-05-04,19
2025-05-18,45
2025-05-25,18
2025-06-01,1
2025-06-15,27
2025-06-29,-27
2025-07-06,16
2025-07-27,19
2025-08-03,3
2025-08-31,27
2025-09-07,35
2025-09-21,45
2025-10-05,27
2025-10-19,35
2025-10-26,23
