"ds","y"
2020-08-02,-27
2020-08-09,10
2020-10-11,16
2022-03-20,0
2022-03-27,5
2023-03-05,-4
2023-03-19,-2
2023-04-02,10
2023-04-30,3
2023-05-07,-3
2023-05-28,-5
2023-06-04,-1
2023-06-18,-29
2023-07-02,-2
2023-07-09,-3
2023-07-23,2
2023-07-30,2
2023-08-27,-4
2023-09-03,-2
2023-09-17,4
2023-09-24,-2
2023-10-08,7
2023-10-22,-1
2023-10-29,-1
2023-11-05,-26
2023-11-26,-17
2024-06-23,2
2024-06-30,13
2024-07-07,13
2024-07-21,-2
2024-07-28,-2
2024-08-25,1
2024-09-01,-6
2024-09-15,1
2024-09-22,3
2024-10-20,7
2024-10-27,3
2024-11-03,-22
2024-12-01,-18
2024-12-08,10
2025-03-16,16
2025-03-23,-3
2025-04-06,0
2025-04-13,-24
2025-04-20,3
2025-05-04,2
2025-05-18,5
2025-05-25,-3
2025-06-01,20
2025-06-15,7
2025-06-29,12
2025-07-06,31
2025-07-27,2
2025-08-03,5
2025-08-31,3
2025-09-07,-28
2025-09-21,1
2025-10-05,-9
2025-10-19,7
2025-10-26,-26
