"ds","y"
2021-03-28,5
2021-04-18,8
2021-05-02,-1
2021-05-09,-24
2021-05-23,0
2021-06-06,9
2021-06-20,-13
2021-06-27,4
2021-07-04,-1
2021-07-18,6
2021-08-01,18
2021-08-29,1
2021-09-05,-25
2021-09-12,-40
2021-09-26,-5
2021-10-10,-4
2021-10-24,3
2021-11-07,-21
2021-11-14,0
2021-11-21,-2
2021-12-05,-3
2021-12-12,19
2022-03-20,12
2022-03-27,-20
2022-04-10,-2
2022-04-24,11
2022-05-08,-1
2022-05-22,3
2022-05-29,-6
2022-06-12,-2
2022-06-19,-18
2022-07-03,-1
2022-07-10,0
2022-07-24,-29
2022-07-31,-3
2022-08-28,-13
2022-09-04,-29
2022-09-11,6
2022-10-02,-24
2022-10-09,0
2022-10-23,9
2022-10-30,-27
2022-11-13,-17
2022-11-20,0
2023-03-05,3
2023-03-19,5
2023-04-02,2
2023-04-30,1
2023-05-07,6
2023-05-28,3
2023-06-04,5
2023-06-18,-3
2023-07-02,0
2023-07-09,2
2023-07-23,1
2023-07-30,2
2023-08-27,-29
2023-09-03,-24
2023-09-17,-1
2023-09-24,-4
2023-10-08,7
2023-10-22,16
2023-10-29,8
2023-11-05,-18
2023-11-26,-15
2024-06-23,-2
2024-06-30,0
2024-07-07,3
2024-07-21,3
2024-07-28,4
2024-08-25,-6
2024-09-01,-24
2024-09-15,-29
2024-09-22,-1
2024-10-20,-4
2024-10-27,-29
2024-11-03,10
2024-12-01,1
2024-12-08,-1
2025-03-16,-1
2025-03-23,-5
2025-04-06,2
2025-04-13,3
2025-04-20,-28
2025-05-04,1
2025-05-18,10
2025-05-25,-5
2025-06-01,6
2025-06-15,6
2025-06-29,2
2025-07-06,-4
2025-07-27,-2
2025-08-03,3
2025-08-31,4
2025-09-07,-3
2025-09-21,13
2025-10-05,1
2025-10-19,12
2025-10-26,-1
