Driver Code,Driver,Price
NOR,Lando Norris,30.5
VER,Max Verstappen,29.1
PIA,Oscar Piastri,26.3
RUS,George Russell,23.3
HAM,Lewis Hamiliton,22.7
LEC,Charles Leclerc,23
ANT,Kimi Antonelli,15.7
ALB,Alexander Albon,13
TSU,Yuki Tsunoda,10.2
HUL,Nico Hulkenberg,7.4
BEA,Oliver Bearman,7.7
STR,Lance Stroll,8.7
OCO,Esteban Ocon,7.1
SAI,Carlos Sainz,6.9
BOR,Gabriel Bortoleto,6.7
HAD,Isack Hadjar,6.5
LAW,Liam Lawson,7.1
ALO,Fernando Alonso,6.1
GAS,Pierre Gasly,4.5
COL,Franco Colapinto,4.5
