year,round,event_name,country,location,event_date
2020,1,Austrian Grand Prix,Austria,Spielberg,2020-07-05
2020,2,Styrian Grand Prix,Austria,Spielberg,2020-07-12
2020,3,Hungarian Grand Prix,Hungary,Budapest,2020-07-19
2020,4,British Grand Prix,Great Britain,Silverstone,2020-08-02
2020,5,70th Anniversary Grand Prix,Great Britain,Silverstone,2020-08-09
2020,6,Spanish Grand Prix,Spain,Barcelona,2020-08-16
2020,7,Belgian Grand Prix,Belgium,Spa-Francorchamps,2020-08-30
2020,8,Italian Grand Prix,Italy,Monza,2020-09-06
2020,9,Tuscan Grand Prix,Italy,Mugello,2020-09-13
2020,10,Russian Grand Prix,Russia,Sochi,2020-09-27
2020,11,Eifel Grand Prix,Germany,Nürburgring,2020-10-11
2020,12,Portuguese Grand Prix,Portugal,Portimão,2020-10-25
2020,13,Emilia Romagna Grand Prix,Italy,Imola,2020-11-01
2020,14,Turkish Grand Prix,Turkey,Istanbul,2020-11-15
2020,15,Bahrain Grand Prix,Bahrain,Sakhir,2020-11-29
2020,16,Sakhir Grand Prix,Bahrain,Sakhir,2020-12-06
2020,17,Abu Dhabi Grand Prix,United Arab Emirates,Yas Island,2020-12-13
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18
2021,3,Portuguese Grand Prix,Portugal,Portimão,2021-05-02
2021,4,Spanish Grand Prix,Spain,Barcelona,2021-05-09
2021,5,Monaco Grand Prix,Monaco,Monte Carlo,2021-05-23
2021,6,Azerbaijan Grand Prix,Azerbaijan,Baku,2021-06-06
2021,7,French Grand Prix,France,Le Castellet,2021-06-20
2021,8,Styrian Grand Prix,Austria,Spielberg,2021-06-27
2021,9,Austrian Grand Prix,Austria,Spielberg,2021-07-04
2021,10,British Grand Prix,Great Britain,Silverstone,2021-07-18
2021,11,Hungarian Grand Prix,Hungary,Budapest,2021-08-01
2021,12,Belgian Grand Prix,Belgium,Spa-Francorchamps,2021-08-29
2021,13,Dutch Grand Prix,Netherlands,Zandvoort,2021-09-05
2021,14,Italian Grand Prix,Italy,Monza,2021-09-12
2021,15,Russian Grand Prix,Russia,Sochi,2021-09-26
2021,16,Turkish Grand Prix,Turkey,Istanbul,2021-10-10
2021,17,United States Grand Prix,United States,Austin,2021-10-24
2021,18,Mexico City Grand Prix,Mexico,Mexico City,2021-11-07
2021,19,São Paulo Grand Prix,Brazil,São Paulo,2021-11-14
